datetime,close,high_^bvsp,low_^bvsp,open_^bvsp,volume_^bvsp,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2023-02-09,107783.0,110046.0,107781.0,109952.0,12956000,111252.95,107134.3697911367,115371.53020886329,False,True,False,False,True,True,False
2023-02-10,108150.0,108647.0,107620.0,108002.0,14458000,111114.65,106768.93064097935,115460.36935902064,False,False,False,False,False,False,False
2023-02-13,108846.0,109193.0,107420.0,108074.0,9973600,111096.3,106713.82700912056,115478.77299087944,False,False,False,False,False,False,False
2023-02-14,107659.0,109564.0,107557.0,108839.0,11894600,110907.3,106268.5161711797,115546.08382882031,False,False,False,False,False,False,False
2023-02-15,109442.0,110210.0,107267.0,107849.0,15499500,110756.8,106133.74566217043,115379.85433782957,False,False,False,False,False,False,False
2023-02-16,109905.0,110437.0,108378.0,109599.0,12995900,110601.75,106089.64110457104,115113.85889542896,False,False,False,False,False,False,False
2023-02-17,109303.0,109941.0,108968.0,109941.0,10058400,110451.85,105978.40195861782,114925.2980413822,False,False,False,False,False,False,False
2023-02-22,107152.0,109174.0,106720.0,109174.0,9356400,110224.0,105560.00523607782,114887.99476392218,False,True,False,False,True,True,False
2023-02-23,107720.0,108663.0,106731.0,107152.0,11459000,109958.6,105362.83808962638,114554.36191037363,False,False,False,False,False,False,False
2023-02-24,105873.0,107611.0,105360.0,107582.0,10221100,109542.5,105056.09623564249,114028.90376435751,False,False,False,False,False,False,False
2023-02-27,105711.0,106402.0,105227.0,105807.0,9570700,109122.6,104869.84142034357,113375.35857965644,False,False,False,False,False,False,False
2023-02-28,104932.0,106794.0,104932.0,105706.0,15672400,108744.1,104411.02456853839,113077.17543146163,False,False,False,False,False,False,False
2023-03-01,104385.0,105497.0,103105.0,104933.0,19853000,108368.95,103885.37241179287,112852.52758820713,False,False,False,False,False,False,False
2023-03-02,103326.0,104912.0,103321.0,104375.0,14738800,107858.65,103528.75731748405,112188.54268251594,True,False,False,True,False,True,False
2023-03-03,103866.0,104440.0,103323.0,103326.0,13101500,107436.8,103289.9503599911,111583.64964000891,False,False,False,False,False,False,False
2023-03-06,104700.0,105171.0,103170.0,103865.0,14277800,107175.05,103031.27778135671,111318.8222186433,False,False,False,False,False,False,False
2023-03-07,104228.0,105179.0,103480.0,104700.0,12578200,106961.95,102667.29464467139,111256.6053553286,False,False,False,False,False,False,False
2023-03-08,106540.0,106721.0,104228.0,104228.0,15904100,106866.15,102626.69594999481,111105.60405000517,False,True,False,False,True,True,False
2023-03-09,105071.0,106724.0,105053.0,106540.0,19174300,106723.7,102442.09345941021,111005.30654058978,False,False,False,False,False,False,False
2023-03-10,103618.0,105071.0,103201.0,105071.0,17952200,106410.5,102185.60229335916,110635.39770664084,False,False,False,False,False,False,False
2023-03-13,103121.0,103907.0,102255.0,103608.0,12993800,106177.4,101761.24056351888,110593.55943648111,False,False,False,False,False,False,False
2023-03-14,102932.0,104153.0,102482.0,103121.0,13133800,105916.5,101376.22875839245,110456.77124160755,False,False,False,False,False,False,False
2023-03-15,102675.0,103048.0,100692.0,102930.0,15246500,105607.95,101067.18519194119,110148.71480805881,False,False,False,False,False,False,False
2023-03-16,103435.0,103911.0,102455.0,102683.0,14385800,105396.75,100864.73788151385,109928.76211848615,False,False,False,False,False,False,False
2023-03-17,101982.0,103434.0,101664.0,103434.0,17560000,105023.75,100669.08460708971,109378.41539291029,False,False,False,False,False,False,False
2023-03-20,100923.0,102328.0,100679.0,101982.0,0,104574.65,100495.67932101738,108653.62067898261,False,False,False,False,False,False,False
2023-03-21,100998.0,101670.0,100923.0,100923.0,9672100,104159.4,100431.35581684191,107887.44418315808,False,False,False,False,False,False,False
2023-03-22,100221.0,101888.0,100129.0,100998.0,11504600,103812.85,99969.32117872132,107656.37882127869,False,False,False,False,False,False,False
2023-03-23,97926.0,101126.0,96997.0,100221.0,0,103323.15,99098.82319470964,107547.47680529035,True,True,True,False,False,True,True
2023-03-24,98829.0,99258.0,97688.0,97926.0,0,102970.95,98475.8485035755,107466.0514964245,False,False,False,False,False,False,False
2023-03-27,99670.0,99997.0,98833.0,98833.0,9990600,102668.9,98137.32851006176,107200.47148993822,False,False,False,False,False,False,False
2023-03-28,101185.0,101559.0,99488.0,99672.0,13500100,102481.55,98034.9012808432,106928.1987191568,False,False,False,False,False,False,False
2023-03-29,101793.0,102213.0,100248.0,101185.0,12456100,102351.95,97988.57832083649,106715.3216791635,False,False,False,False,False,False,False
2023-03-30,103713.0,104085.0,101796.0,101796.0,14901600,102371.3,97986.36156317597,106756.23843682403,False,False,False,False,False,False,False
2023-03-31,101882.0,104041.0,101476.0,103714.0,15111200,102272.1,97940.089945096,106604.11005490401,False,False,False,False,False,False,False
2023-04-03,101506.0,101916.0,100651.0,101883.0,12794800,102112.4,97924.14306322773,106300.65693677225,False,False,False,False,False,False,False
2023-04-04,101869.0,103056.0,101505.0,101505.0,11695800,101994.45,97925.89683805424,106063.00316194576,False,False,False,False,False,False,False
2023-04-05,100978.0,101960.0,99898.0,101869.0,13256500,101716.35,98238.54983171455,105194.15016828546,False,False,False,False,False,False,False
2023-04-06,100822.0,101628.0,100443.0,100978.0,9818500,101503.9,98388.73567046615,104619.06432953384,False,False,False,False,False,False,False
2023-04-10,101847.0,102196.0,100819.0,100822.0,8148700,101415.35,98456.4505406526,104374.24945934741,False,False,False,False,False,False,False
2023-04-11,106214.0,106455.0,101848.0,101849.0,18725700,101570.0,97979.77567040134,105160.22432959866,True,True,True,False,False,True,True
2023-04-12,106890.0,108277.0,106217.0,106218.0,17345500,101767.9,97490.90661925373,106044.89338074626,True,False,False,True,False,True,False
2023-04-13,106458.0,107037.0,106220.0,106890.0,12182900,101957.05,97203.12980161303,106710.97019838697,False,False,False,False,False,False,False
2023-04-14,106279.0,106701.0,104934.0,106458.0,11501000,102099.25,97001.4827746149,107197.0172253851,False,False,False,False,False,False,False
2023-04-17,106016.0,106830.0,105623.0,106279.0,10253400,102300.95,96911.82115818483,107690.07884181516,False,False,False,False,False,False,False
2023-04-18,106163.0,106475.0,105122.0,106023.0,11207900,102562.95,96950.99518624938,108174.90481375062,False,False,False,False,False,False,False
2023-04-19,103913.0,106149.0,103604.0,106149.0,12713600,102708.7,97116.49903606348,108300.90096393651,False,True,False,False,True,True,False
2023-04-20,104367.0,104615.0,103087.0,103913.0,12378000,102916.0,97405.2980292411,108426.7019707589,False,False,False,False,False,False,False
2023-04-24,103947.0,104822.0,103247.0,104367.0,10935400,103217.05,98220.26238035985,108213.83761964015,False,False,False,False,False,False,False
2023-04-25,103220.0,103947.0,102633.0,103947.0,10873200,103436.6,98885.63844052832,107987.5615594717,False,False,False,False,False,False,False
2023-04-26,102312.0,103668.0,102233.0,103220.0,10115500,103568.7,99335.82405344228,107801.57594655771,False,False,False,False,False,False,False
2023-04-27,102923.0,103177.0,101975.0,102310.0,11302800,103655.6,99559.62624391638,107751.57375608363,False,False,False,False,False,False,False
2023-04-28,104432.0,104432.0,102449.0,102923.0,13080900,103787.55,99775.04174258932,107800.05825741068,False,False,False,False,False,False,False
2023-05-02,101927.0,104447.0,101569.0,104431.0,12018000,103698.25,99600.17199735182,107796.32800264818,False,True,False,False,True,True,False
2023-05-03,101797.0,102331.0,101433.0,101927.0,11688200,103694.0,99587.82283049454,107800.17716950546,False,False,False,False,False,False,False
2023-05-04,102174.0,103321.0,101063.0,101798.0,14837300,103727.4,99685.79982706178,107769.0001729382,False,False,False,False,False,False,False
2023-05-05,105148.0,105306.0,102175.0,102175.0,16699500,103891.35,99901.47100038381,107881.2289996162,False,True,False,False,True,True,False
2023-05-08,106042.0,106716.0,105161.0,105161.0,13259200,104144.55,100292.78701472479,107996.31298527522,False,False,False,False,False,False,False
2023-05-09,107114.0,107731.0,105549.0,106028.0,13526600,104459.15,100723.96304491018,108194.3369550898,False,False,False,False,False,False,False
2023-05-10,107448.0,107744.0,106538.0,107114.0,13576900,104739.2,100988.78839592247,108489.61160407752,False,False,False,False,False,False,False
2023-05-11,108256.0,108667.0,106419.0,107446.0,12772100,104841.3,100820.40986026864,108862.19013973136,False,False,False,False,False,False,False
2023-05-12,108464.0,108817.0,107497.0,108256.0,11925000,104920.0,100674.90851874664,109165.09148125336,False,False,False,False,False,False,False
2023-05-15,109029.0,109271.0,108356.0,108469.0,11603200,105048.55,100465.13038601154,109631.96961398846,False,False,False,False,False,False,False
2023-05-16,108194.0,110151.0,108085.0,109029.0,16897300,105144.3,100376.3537313166,109912.2462686834,False,False,False,False,False,False,False
2023-05-17,109460.0,109774.0,108188.0,108194.0,13993000,105316.5,100181.36654711422,110451.63345288578,False,False,False,False,False,False,False
2023-05-18,110108.0,110206.0,108864.0,109459.0,13613100,105513.75,99956.02729806729,111071.47270193271,False,False,False,False,False,False,False
2023-05-19,110745.0,111211.0,109787.0,110113.0,16135800,105855.35,99887.20469081239,111823.49530918762,False,False,False,False,False,False,False
2023-05-22,110213.0,111643.0,110178.0,110745.0,11769400,106147.65,99919.45866754372,112375.84133245627,False,False,False,False,False,False,False
2023-05-23,109929.0,111325.0,109713.0,110213.0,12334800,106446.75,100090.30650995745,112803.19349004255,False,False,False,False,False,False,False
2023-05-24,108800.0,109920.0,108546.0,109920.0,12980200,106725.75,100476.71090334057,112974.78909665943,False,False,False,False,False,False,False
2023-05-25,110054.0,111115.0,108800.0,108800.0,14745300,107112.85,101058.90032709189,113166.79967290812,False,False,False,False,False,False,False
2023-05-26,110906.0,111706.0,109900.0,110058.0,11019700,107512.0,101569.54461522856,113454.45538477144,False,False,False,False,False,False,False
2023-05-29,110333.0,111168.0,110195.0,110906.0,5913000,107807.05,101922.79380768129,113691.30619231872,False,False,False,False,False,False,False
2023-05-30,108967.0,111291.0,108552.0,110333.0,11588000,108159.05,102952.60353128663,113365.49646871338,False,False,False,False,False,False,False
2023-05-31,108335.0,109137.0,108193.0,108967.0,15861100,108485.95,104226.55397288672,112745.34602711328,False,False,False,False,False,False,False
2023-06-01,110565.0,110745.0,108335.0,108339.0,14669000,108905.5,105755.29696560783,112055.70303439217,False,False,False,False,False,False,False
2023-06-02,112558.0,113070.0,110567.0,110568.0,14545800,109276.0,106245.81862623809,112306.18137376191,True,False,False,True,False,True,False
2023-06-05,112696.0,113071.0,111736.0,112558.0,9078800,109608.7,106612.61995750257,112604.78004249743,True,False,False,True,False,True,False
2023-06-06,114610.0,114783.0,112696.0,112697.0,15025400,109983.5,106470.56669276922,113496.43330723078,True,False,False,True,False,True,False
2023-06-07,115488.0,115978.0,114610.0,114610.0,14017100,110385.5,106300.6884150907,114470.3115849093,True,False,False,True,False,True,False
2023-06-09,117019.0,117603.0,115489.0,115489.0,13527100,110823.65,105905.66901611105,115741.63098388894,True,False,False,True,False,True,False
2023-06-12,117336.0,117735.0,116704.0,117022.0,12016200,111267.25,105689.22571762768,116845.27428237232,True,False,False,True,False,True,False
2023-06-13,116743.0,117924.0,116363.0,117337.0,12392200,111652.95,105674.18105524764,117631.71894475236,False,False,False,False,False,False,False
2023-06-14,119069.0,119085.0,116745.0,116753.0,16938600,112196.7,105596.66567473054,118796.73432526946,True,False,False,True,False,True,False
2023-06-15,119221.0,119686.0,118693.0,119068.0,12298000,112684.75,105517.57982144144,119851.92017855856,False,False,False,False,False,False,False
2023-06-16,118758.0,119555.0,118487.0,119208.0,15251700,113117.25,105570.8579063186,120663.6420936814,False,False,False,False,False,False,False
2023-06-19,119858.0,119939.0,118558.0,118757.0,6776300,113572.9,105544.5166430399,121601.28335696009,False,False,False,False,False,False,False
2023-06-20,119622.0,119858.0,118416.0,119858.0,10924200,114043.35,105745.76404097756,122340.93595902245,False,False,False,False,False,False,False
2023-06-21,120420.0,120519.0,119332.0,119623.0,11736700,114567.9,106042.17526402112,123093.62473597887,False,False,False,False,False,False,False
2023-06-22,118934.0,120420.0,118018.0,120420.0,11831500,115074.6,106791.10751510173,123358.09248489828,False,False,False,False,False,False,False
2023-06-23,118977.0,119386.0,118178.0,118959.0,12845400,115520.75,107416.57977071304,123624.92022928696,False,False,False,False,False,False,False
2023-06-26,118243.0,119148.0,117491.0,118977.0,10456600,115887.6,108001.68142653209,123773.51857346793,False,False,False,False,False,False,False
2023-06-27,117523.0,119212.0,116561.0,118246.0,13077000,116247.1,108783.11238507276,123711.08761492725,False,False,False,False,False,False,False
2023-06-28,116681.0,117937.0,116560.0,117524.0,10646300,116632.8,110002.07564169742,123263.52435830259,False,False,False,False,False,False,False
2023-06-29,118383.0,118623.0,116683.0,116683.0,11055300,117135.2,111745.10184251101,122525.29815748899,False,False,False,False,False,False,False
2023-06-30,118087.0,119447.0,118087.0,118388.0,13824700,117511.3,113088.58656282526,121934.01343717474,False,False,False,False,False,False,False
2023-07-03,119673.0,119877.0,118092.0,118092.0,8907500,117867.05,114013.99989036401,121720.100109636,False,False,False,False,False,False,False
2023-07-04,119076.0,119678.0,118830.0,119673.0,6555200,118186.05,115170.12528538793,121201.97471461208,False,False,False,False,False,False,False
2023-07-05,119549.0,120200.0,118688.0,119072.0,10959000,118433.0,115876.07454362256,120989.92545637744,False,False,False,False,False,False,False
2023-07-06,117426.0,119548.0,117096.0,119548.0,11025700,118529.9,116319.48904511605,120740.31095488394,False,False,False,False,False,False,False
2023-07-07,118898.0,119549.0,117427.0,117427.0,10521000,118623.85,116527.02279531359,120720.67720468642,False,False,False,False,False,False,False
2023-07-10,117942.0,118897.0,117814.0,118897.0,8104000,118654.15,116619.07593953531,120689.22406046468,False,False,False,False,False,False,False
2023-07-11,117220.0,117942.0,115704.0,117942.0,10592500,118678.0,116727.82235627045,120628.17764372955,False,False,False,False,False,False,False
2023-07-12,117666.0,119156.0,117557.0,117557.0,8941200,118607.85,116616.39411627087,120599.30588372915,False,False,False,False,False,False,False
2023-07-13,119264.0,119739.0,117668.0,117671.0,9257600,118610.0,116615.66613152546,120604.33386847454,False,False,False,False,False,False,False
