datetime,ticker,close,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2022-12-15,^GSPC,3895.75,3987.0970092773437,3884.4892697270952,4089.704748827592,0,1,0,0,1,1,0
2022-12-16,^GSPC,3852.360107421875,3982.38701171875,3864.4425458973506,4100.331477540149,1,0,0,1,0,1,0
2022-12-19,^GSPC,3817.659912109375,3975.0030029296877,3835.9606323690878,4114.045373490288,1,0,0,1,0,1,0
2022-12-20,^GSPC,3821.6201171875,3968.58701171875,3813.73185863482,4123.44216480268,0,0,0,0,0,0,0
2022-12-21,^GSPC,3878.43994140625,3962.3300048828123,3803.369871203035,4121.29013856259,0,0,0,0,0,0,0
2022-12-22,^GSPC,3822.389892578125,3952.0864990234377,3784.570101884445,4119.60289616243,0,0,0,0,0,0,0
2022-12-23,^GSPC,3844.820068359375,3943.0214965820314,3772.7740569269795,4113.268936237084,0,0,0,0,0,0,0
2022-12-27,^GSPC,3829.25,3936.286999511719,3759.0127790134197,4113.561220010019,0,0,0,0,0,0,0
2022-12-28,^GSPC,3783.219970703125,3927.56650390625,3737.9812142694504,4117.151793543049,0,0,0,0,0,0,0
2022-12-29,^GSPC,3849.280029296875,3916.025,3737.774815320653,4094.275184679347,0,0,0,0,0,0,0
2022-12-30,^GSPC,3839.5,3904.171496582031,3739.890860319478,4068.452132844584,0,0,0,0,0,0,0
2023-01-03,^GSPC,3824.139892578125,3891.793493652344,3744.2033208208322,4039.3836664838554,0,0,0,0,0,0,0
2023-01-04,^GSPC,3852.969970703125,3884.4999877929686,3744.987325590929,4024.0126499950084,0,0,0,0,0,0,0
2023-01-05,^GSPC,3808.10009765625,3877.8419921875,3737.0310821334065,4018.652902241594,0,0,0,0,0,0,0
2023-01-06,^GSPC,3895.080078125,3875.9,3737.291407124901,4014.508592875099,0,0,0,0,0,0,0
2023-01-09,^GSPC,3892.090087890625,3872.32900390625,3739.6717967006,4004.9862111118996,0,0,0,0,0,0,0
2023-01-10,^GSPC,3919.25,3871.572509765625,3740.2392557926973,4002.9057637385527,0,0,0,0,0,0,0
2023-01-11,^GSPC,3969.610107421875,3870.525012207031,3742.9060061557657,3998.1440182582965,0,0,0,0,0,0,0
2023-01-12,^GSPC,3983.169921875,3868.7010131835937,3749.2765122871315,3988.125514080056,0,0,0,0,0,0,0
