datetime,close,high_^mxx,low_^mxx,open_^mxx,volume_^mxx,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2023-09-22,51677.48046875,52036.28125,51637.44921875,51946.171875,172807800,52549.2263671875,50838.269148600855,54260.18358577414,False,False,False,False,False,False,False
2023-09-25,51367.4609375,51852.12109375,51329.6484375,51684.609375,240424600,52445.4673828125,50711.103168881506,54179.8315967435,False,False,False,False,False,False,False
2023-09-26,51107.80078125,51422.44921875,51068.8984375,51410.421875,213724500,52287.791015625,50679.728677692845,53895.853353557155,False,False,False,False,False,False,False
2023-09-27,51427.26953125,51577.19921875,51180.75,51180.98046875,237887300,52139.617578125,50828.78345523988,53450.45170101012,False,False,False,False,False,False,False
2023-09-28,51554.94921875,51743.87109375,51360.23828125,51386.23046875,204512600,52066.316015625,50799.78880118516,53332.84323006484,False,False,False,False,False,False,False
2023-09-29,50874.98046875,51658.01171875,50783.0703125,51575.23828125,226957200,51952.7970703125,50686.501359999704,53219.0927806253,False,False,False,False,False,False,False
2023-10-02,51260.37109375,51281.33984375,50488.3515625,51001.7890625,152597800,51864.2896484375,50669.74550028426,53058.83379659074,False,False,False,False,False,False,False
2023-10-03,50366.390625,51305.9296875,50256.859375,51210.62890625,242148700,51735.9841796875,50475.13008804373,52996.83827133127,True,True,True,False,False,True,True
2023-10-04,50732.69140625,50776.96875,50158.37890625,50407.9296875,234531400,51624.0591796875,50429.189239515625,52818.92911985938,False,False,False,False,False,False,False
2023-10-05,49454.58984375,50444.75,48484.91015625,50444.75,273435300,51472.640234375,50000.659117808646,52944.62135094136,True,True,True,False,False,True,True
2023-10-06,49666.5,49821.55078125,48775.94921875,49472.94921875,182618600,51330.709765625,49735.63677297406,52925.782758275935,True,False,False,True,False,True,False
2023-10-09,49297.1484375,49658.390625,49020.25,49658.390625,158324400,51182.1927734375,49410.966820067086,52953.41872680791,True,False,False,True,False,True,False
2023-10-10,50289.859375,50427.12109375,49301.6484375,49301.6484375,200850400,51103.66328125,49319.83026980138,52887.496292698626,False,True,False,False,True,True,False
2023-10-11,50344.73828125,50416.71875,50109.01953125,50293.37109375,229695000,51044.7912109375,49241.50305808404,52848.07936379097,False,False,False,False,False,False,False
2023-10-12,49745.16015625,50161.78125,49503.62890625,50156.921875,231171900,50944.265234375,49084.562497321254,52803.96797142875,False,False,False,False,False,False,False
2023-10-13,49379.578125,49819.96875,49185.76953125,49769.890625,211550100,50845.6640625,48871.3166378606,52820.0114871394,False,False,False,False,False,False,False
2023-10-16,49823.078125,50004.828125,49377.828125,49402.328125,131151500,50752.5525390625,48769.30635521012,52735.79872291487,False,False,False,False,False,False,False
2023-10-17,49666.01171875,49874.23828125,49507.609375,49733.5390625,192510900,50624.8650390625,48711.763561769134,52537.96651635586,False,False,False,False,False,False,False
2023-10-18,49274.78125,49670.6484375,49011.37890625,49543.8984375,339281500,50463.242578125,48677.8169484621,52248.668207787894,False,False,False,False,False,False,False
2023-10-19,48804.609375,49314.9609375,48756.96875,49257.05078125,254330700,50305.7724609375,48518.41793590399,52093.12698597101,False,False,False,False,False,False,False
2023-10-20,48275.91015625,48886.98828125,48226.48046875,48809.12109375,214755400,50135.6939453125,48253.100771327016,52018.28711929799,False,False,False,False,False,False,False
2023-10-23,48197.87890625,48367.76171875,47765.05859375,48290.328125,160983200,49977.21484375,47999.95939775355,51954.47028974645,False,False,False,False,False,False,False
2023-10-24,48278.80078125,48563.0703125,48204.80859375,48304.3984375,158358600,49835.76484375,47795.30388269463,51876.22580480538,False,False,False,False,False,False,False
2023-10-25,48766.328125,48816.55078125,48228.9609375,48252.46875,181752700,49702.7177734375,47754.26026198152,51651.17528489348,False,False,False,False,False,False,False
2023-10-26,49182.37109375,49323.5390625,48626.76953125,48735.8203125,195448300,49584.0888671875,47831.38540991719,51336.79232445781,False,False,False,False,False,False,False
2023-10-27,48973.8515625,49609.328125,48887.62109375,49156.5,231123500,49489.032421875,47827.25603698832,51150.808806761685,False,False,False,False,False,False,False
2023-10-30,49277.359375,49465.890625,48963.46875,48963.46875,190856700,49389.8818359375,47951.485316932885,50828.278354942115,False,False,False,False,False,False,False
2023-10-31,49061.87890625,49262.1796875,48807.3515625,49259.0,302061900,49324.65625,47956.09145750261,50693.22104249739,False,False,False,False,False,False,False
2023-11-01,49787.83984375,49899.421875,48976.859375,49051.921875,164928200,49277.413671875,48056.20250646097,50498.62483728903,False,False,False,False,False,False,False
2023-11-03,51266.73046875,51926.51171875,50249.03125,50654.109375,235378400,49368.020703125,47856.95683145699,50879.084574793014,True,True,True,False,False,True,True
2023-11-06,51633.62890625,52181.6484375,51127.3203125,51127.3203125,233795300,49466.3771484375,47648.5616608434,51284.19263603161,True,False,False,True,False,True,False
2023-11-07,51209.8515625,51710.26171875,50941.05078125,51487.69140625,244230200,49562.0123046875,47587.208092587025,51536.81651678798,False,False,False,False,False,False,False
2023-11-08,51016.30078125,51531.828125,50874.2109375,51279.78125,144881600,49598.334375,47542.1189848344,51654.5497651656,False,False,False,False,False,False,False
2023-11-09,51071.03125,51241.3515625,50812.140625,50977.921875,200702400,49634.6490234375,47498.81710408826,51770.480942786744,False,False,False,False,False,False,False
2023-11-10,51258.23828125,51329.46875,50977.23046875,51013.69140625,163797100,49710.3029296875,47454.18588631556,51966.41997305945,False,False,False,False,False,False,False
2023-11-13,51090.91015625,51336.5,51046.69921875,51216.26953125,169830400,49795.86953125,47464.02729183768,52127.71177066232,False,False,False,False,False,False,False
2023-11-14,52511.37109375,52571.859375,51149.16015625,51149.16015625,216405300,49930.2841796875,47300.89835729535,52559.67000207965,False,True,False,False,True,True,False
2023-11-15,52796.46875,52916.828125,52454.44140625,52454.44140625,243861900,50086.80703125,47166.99746426226,53006.616598237735,False,False,False,False,False,False,False
2023-11-16,52469.359375,52720.8515625,52310.05859375,52686.94140625,184817600,50246.5359375,47168.53176897387,53324.54010602612,False,False,False,False,False,False,False
2023-11-17,52685.1015625,52832.01953125,52452.4609375,52471.73828125,141131300,50440.560546875,47257.82554271399,53623.29555103601,False,False,False,False,False,False,False
2023-11-21,52504.2890625,52701.12890625,51986.83984375,52467.0,184119600,50651.9794921875,47513.22799146185,53790.73099291315,False,False,False,False,False,False,False
2023-11-22,52670.01171875,52862.5703125,52526.48046875,52560.12890625,147618900,50875.5861328125,47837.383393393065,53913.78887223194,False,False,False,False,False,False,False
2023-11-23,53059.5390625,53108.76171875,52738.19140625,52803.2890625,37636200,51114.623046875,48186.38327495038,54042.86281879962,False,False,False,False,False,False,False
2023-11-24,52938.421875,53180.4609375,52568.5390625,52967.48046875,96360900,51323.227734375,48507.081484383816,54139.37398436619,False,False,False,False,False,False,False
2023-11-27,52220.48828125,52919.8203125,52132.41015625,52919.8203125,199742200,51475.13359375,48822.189643605736,54128.07754389426,False,False,False,False,False,False,False
2023-11-28,52359.0,52623.421875,52172.55859375,52184.12109375,197156600,51644.391015625,49243.38786389506,54045.394167354934,False,False,False,False,False,False,False
2023-11-29,52792.80859375,52879.4296875,52253.58984375,52284.328125,198421400,51820.1634765625,49644.65474598077,53995.67220714423,False,False,False,False,False,False,False
2023-11-30,54060.01171875,54165.80859375,52683.37890625,52830.94140625,793435900,52070.0701171875,50089.07082540972,54051.069408965275,True,True,True,False,False,True,True
2023-12-01,53901.4296875,54088.83984375,53652.55859375,53955.7890625,183696900,52275.749609375,50443.87261935028,54107.62659939972,False,False,False,False,False,False,False
2023-12-04,54053.62890625,54223.01953125,53764.28125,53924.37890625,227438800,52415.09453125,50485.03763384342,54345.15142865657,False,False,False,False,False,False,False
2023-12-05,54120.91015625,54163.828125,53400.76171875,54094.3203125,250335400,52539.45859375,50503.77129215359,54575.14589534641,False,False,False,False,False,False,False
2023-12-06,54100.37109375,54446.87890625,54017.05859375,54106.4296875,227010400,52683.9845703125,50635.3677805318,54732.601360093206,False,False,False,False,False,False,False
2023-12-07,54456.78125,54509.3984375,53970.44921875,54012.80859375,208628600,52856.00859375,50819.254745954015,54892.76244154598,False,False,False,False,False,False,False
2023-12-08,54393.01171875,54574.109375,54042.48046875,54340.08984375,192868500,53022.1076171875,51057.73031393675,54986.484920438255,False,False,False,False,False,False,False
2023-12-11,54439.12109375,54604.078125,54143.75,54438.21875,191407600,53181.1517578125,51304.98613918845,55057.31737643655,False,False,False,False,False,False,False
2023-12-13,55167.859375,55250.078125,53933.30078125,54266.62890625,258658100,53384.99921875,51580.51304070532,55189.485396794684,False,False,False,False,False,False,False
2023-12-14,57036.421875,57077.51953125,55346.46875,55346.46875,313194800,53611.2517578125,51226.53434865881,55995.969166966184,True,True,True,False,False,True,True
2023-12-15,57130.078125,57502.12109375,56723.23828125,57065.25,601094400,53827.9322265625,51007.259463622395,56648.60498950261,True,False,False,True,False,True,False
2023-12-18,57732.80859375,57910.55078125,56772.140625,57074.2109375,183221200,54091.1046875,50852.876782411,57329.33259258901,True,False,False,True,False,True,False
2023-12-19,57694.33984375,58338.3203125,57374.390625,57737.41015625,218941700,54341.5666015625,50800.50208035391,57882.6311227711,False,False,False,False,False,False,False
2023-12-20,56909.37109375,57826.890625,56811.44140625,57689.3515625,206219900,54561.820703125,50954.55613224866,58169.085274001336,False,False,False,False,False,False,False
2023-12-21,57487.69921875,57599.91015625,56998.76953125,56998.76953125,109613500,54802.705078125,51085.60328653707,58519.80686971293,False,False,False,False,False,False,False
2023-12-22,57313.46875,57694.8515625,57225.171875,57603.171875,93654100,55015.4015625,51232.043884136794,58798.75924086321,False,False,False,False,False,False,False
2023-12-26,57745.7890625,57974.921875,57335.69921875,57356.30859375,51390900,55255.769921875,51417.56419809871,59093.975645651284,False,False,False,False,False,False,False
2023-12-27,57554.46875,57914.05078125,57480.7890625,57647.5,76005000,55522.4689453125,51833.94693698521,59210.9909536398,False,False,False,False,False,False,False
2023-12-28,57464.421875,57806.421875,57218.578125,57577.83984375,56304100,55777.7400390625,52311.05488902214,59244.425189102854,False,False,False,False,False,False,False
2023-12-29,57386.25,57522.94921875,57178.46875,57475.390625,66550500,56007.412109375,52772.485720274766,59242.338498475234,False,False,False,False,False,False,False
2024-01-02,56980.44140625,57456.80859375,56593.51171875,57456.80859375,70724900,56153.43359375,53026.789898635376,59280.077288864624,False,False,False,False,False,False,False
2024-01-03,55726.640625,56996.26953125,55634.01171875,56996.26953125,98424800,56244.694140625,53293.17037080744,59196.21791044255,False,True,False,False,True,True,False
2024-01-04,55406.9609375,55893.2890625,55203.98828125,55732.94921875,98384300,56312.3607421875,53514.2770236013,59110.444460773695,False,False,False,False,False,False,False
2024-01-05,56192.78125,56246.21875,55388.71875,55420.1015625,117230100,56415.954296875,53812.86886244707,59019.03973130294,False,False,False,False,False,False,False
2024-01-08,56175.671875,56301.51953125,55908.1796875,56227.9296875,129022300,56519.7193359375,54150.3213730983,58889.117298776706,False,False,False,False,False,False,False
2024-01-09,55105.578125,56233.1484375,55073.3515625,56233.1484375,179710800,56552.1591796875,54286.17470425566,58818.14365511934,False,True,False,False,True,True,False
2024-01-10,55318.671875,55535.1484375,55029.48046875,55104.83984375,199388700,56598.4421875,54485.50023047844,58711.38414452155,False,False,False,False,False,False,False
2024-01-11,55438.75,55612.30078125,55155.83984375,55313.9296875,169535700,56648.4236328125,54710.505969763384,58586.34129586161,False,False,False,False,False,False,False
2024-01-12,55607.0703125,55898.44140625,55461.23046875,55463.3203125,168914200,56670.3841796875,54794.136859527716,58546.63149984728,False,False,False,False,False,False,False
2024-01-15,55501.109375,55671.98046875,55435.75,55654.390625,17535400,56593.6185546875,54655.80618088544,58531.43092848956,False,False,False,False,False,False,False
2024-01-16,55124.578125,55641.7109375,55073.83984375,55504.0703125,222231500,56493.3435546875,54466.887265742975,58519.79984363202,False,False,False,False,False,False,False
2024-01-17,54711.69140625,55147.94140625,54367.171875,55147.94140625,265467800,56342.2876953125,54255.35352873644,58429.22186188856,False,False,False,False,False,False,False
2024-01-18,54707.890625,54823.0390625,54346.578125,54690.578125,206055900,56192.965234375,54086.08865623229,58299.841812517705,False,False,False,False,False,False,False
2024-01-19,55452.1015625,55488.80078125,54499.4296875,54728.140625,213233300,56120.1017578125,54016.75243630435,58223.45107932066,False,False,False,False,False,False,False
2024-01-22,54667.609375,55434.1484375,54629.19140625,55418.1015625,185280700,55979.097265625,53883.68180776184,58074.512723488166,False,False,False,False,False,False,False
2024-01-23,55502.8984375,55578.55078125,54751.66015625,54751.66015625,172481500,55888.56875,53881.29523690525,57895.842263094746,False,False,False,False,False,False,False
2024-01-24,55419.55078125,55908.1484375,55273.76953125,55564.1015625,241517100,55772.2568359375,53957.77768018967,57586.73599168533,False,False,False,False,False,False,False
2024-01-25,56160.0703125,56391.4609375,54968.55859375,55408.3203125,292610000,55702.5369140625,54079.31775919847,57325.75606892652,False,False,False,False,False,False,False
